"Time","pod","Value"
1701356399000,spin-clouddriver-575bdcd67d-64b9j,5.024332857454109
1701356399000,prometheus-prometheus-kube-prometheus-prometheus-0,4.293815900513669
1701356399000,spin-clouddriver-76f7f84d9-9sg6p,3.3131833724977002
1701356399000,velero-867765df78-rr78f,3.0598413333333334
1701356399000,keycloak-postgresql-0,1.898715037671233
1701356399000,vizier-pem-mf9vk,1.7814261951996373
1701356399000,vizier-pem-m2l2q,1.6670489288371708
1701356399000,newrelic-bundle-newrelic-logging-2rv69,1.53362578125
1701356399000,newrelic-bundle-newrelic-logging-sq8c6,1.5299206666666667
1701356399000,newrelic-bundle-nrk8s-kubelet-dqgdf,1.4093976478313526
1701356399000,newrelic-bundle-nrk8s-kubelet-blnhb,1.4059974346675874
1701356399000,newrelic-bundle-nrk8s-ksm-588758b9d8-j5vz5,1.4059974346675874
1701356399000,alertmanager-prometheus-kube-prometheus-alertmanager-0,1.3802567514787292
1701356399000,vizier-metadata-0,1.1841338203474099
1701356399000,vizier-query-broker-7c66d5bfdd-fr9b9,1.127421993533477
1701356399000,cluster-autoscaler-5c6d5f9887-7xb8b,0.9796517395833333
1701356399000,vizier-cloud-connector-bdcbfb79b-r7c8z,0.8242289751821715
1701356399000,pl-nats-0,0.8088173453921917
1701356399000,coredns-67778f6c76-jbdcz,0.6482255865405998
1701356399000,coredns-67778f6c76-gm88r,0.6463804635416668
1701356399000,kube-proxy-s62fj,0.6159539996032716
1701356399000,kube-proxy-xl2p8,0.614632019254144
1701356399000,newrelic-bundle-nri-metadata-injection-6c886895bc-mxb6s,0.6143013434667588
1701356399000,ebs-csi-controller-66b79658fd-7prkx,0.5425943709375001
1701356399000,ebs-csi-controller-66b79658fd-j98nw,0.5412880750000001
1701356399000,spin-orca-dfdc66cf7-cz8n2,0.5247601634533945
1701356399000,loki-write-0,0.4988487290988388
1701356399000,supervisor-scheduler-667bf5678d-vxcbb,0.4854982912819657
1701356399000,loki-write-1,0.43786364962063296
1701356399000,keycloak-0,0.371371519459453
